Country,Economic_Indicator,Year,Value
Indonesia,Current_USD_GDP,2014,890.815
Indonesia,GDP_PPP,2014,2380.385
Indonesia,GDP_Per_Capita_PPP,2014,10784.013
Indonesia,Population_Millions,2014,252.165
Malaysia,Current_USD_GDP,2014,342.868
Malaysia,GDP_PPP,2014,710.098
Malaysia,GDP_Per_Capita_PPP,2014,26829.191
Malaysia,Population_Millions,2014,30.709
Philippines,Current_USD_GDP,2014,297.484
Philippines,GDP_PPP,2014,665.098
Philippines,GDP_Per_Capita_PPP,2014,7669.806
Philippines,Population_Millions,2014,99.31
Singapore,Current_USD_GDP,2014,314.864
Singapore,GDP_PPP,2014,464.166
Singapore,GDP_Per_Capita_PPP,2014,106604.493
Singapore,Population_Millions,2014,5.47
Thailand,Current_USD_GDP,2014,407.35
Thailand,GDP_PPP,2014,1084.972
Thailand,GDP_Per_Capita_PPP,2014,18802.913
Thailand,Population_Millions,2014,68.439
Indonesia,Current_USD_GDP,2015,860.854
Indonesia,GDP_PPP,2015,2519.629
Indonesia,GDP_Per_Capita_PPP,2015,11176.145
Indonesia,Population_Millions,2015,255.182
Malaysia,Current_USD_GDP,2015,301.355
Malaysia,GDP_PPP,2015,752.573
Malaysia,GDP_Per_Capita_PPP,2015,27741.118
Malaysia,Population_Millions,2015,31.186
Philippines,Current_USD_GDP,2015,306.446
Philippines,GDP_PPP,2015,713.885
Philippines,GDP_Per_Capita_PPP,2015,8033.747
Philippines,Population_Millions,2015,100.83
Singapore,Current_USD_GDP,2015,307.999
Singapore,GDP_PPP,2015,482.42
Singapore,GDP_Per_Capita_PPP,2015,108483.21
Singapore,Population_Millions,2015,5.535
Thailand,Current_USD_GDP,2015,401.183
Thailand,GDP_PPP,2015,1129.36
Thailand,GDP_Per_Capita_PPP,2015,19314.379
Thailand,Population_Millions,2015,68.715
Indonesia,Current_USD_GDP,2016,931.877
Indonesia,GDP_PPP,2016,2671.59
Indonesia,GDP_Per_Capita_PPP,2016,11588.139
Indonesia,Population_Millions,2016,258.497
Malaysia,Current_USD_GDP,2016,301.256
Malaysia,GDP_PPP,2016,793.531
Malaysia,GDP_Per_Capita_PPP,2016,28565.746
Malaysia,Population_Millions,2016,31.634
Philippines,Current_USD_GDP,2016,318.627
Philippines,GDP_PPP,2016,772.192
Philippines,GDP_Per_Capita_PPP,2016,8465.39
Philippines,Population_Millions,2016,102.53
Singapore,Current_USD_GDP,2016,319.054
Singapore,GDP_PPP,2016,504.481
Singapore,GDP_Per_Capita_PPP,2016,110927.693
Singapore,Population_Millions,2016,5.607
Thailand,Current_USD_GDP,2016,413.479
Thailand,GDP_PPP,2016,1179.255
Thailand,GDP_Per_Capita_PPP,2016,19903.477
Thailand,Population_Millions,2016,68.971
Indonesia,Current_USD_GDP,2017,1015.619
Indonesia,GDP_PPP,2017,2857.305
Indonesia,GDP_Per_Capita_PPP,2017,12042.442
Indonesia,Population_Millions,2017,261.356
Malaysia,Current_USD_GDP,2017,319.109
Malaysia,GDP_PPP,2017,854.694
Malaysia,GDP_Per_Capita_PPP,2017,29858.91
Malaysia,Population_Millions,2017,32.023
Philippines,Current_USD_GDP,2017,328.481
Philippines,GDP_PPP,2017,840.501
Philippines,GDP_Per_Capita_PPP,2017,8909.613
Philippines,Population_Millions,2017,104.17
Singapore,Current_USD_GDP,2017,343.257
Singapore,GDP_PPP,2017,536.69
Singapore,GDP_Per_Capita_PPP,2017,115831.112
Singapore,Population_Millions,2017,5.612
Thailand,Current_USD_GDP,2017,456.336
Thailand,GDP_PPP,2017,1250.522
Thailand,GDP_Per_Capita_PPP,2017,20663.526
Thailand,Population_Millions,2017,69.21
Indonesia,Current_USD_GDP,2018,1042.272
Indonesia,GDP_PPP,2018,3069.919
Indonesia,GDP_Per_Capita_PPP,2018,12531.011
Indonesia,Population_Millions,2018,264.162
Malaysia,Current_USD_GDP,2018,358.783
Malaysia,GDP_PPP,2018,914.713
Malaysia,GDP_Per_Capita_PPP,2018,30957.285
Malaysia,Population_Millions,2018,32.382
Philippines,Current_USD_GDP,2018,346.842
Philippines,GDP_PPP,2018,914.883
Philippines,GDP_Per_Capita_PPP,2018,9332.174
Philippines,Population_Millions,2018,105.76
Singapore,Current_USD_GDP,2018,376.893
Singapore,GDP_PPP,2018,585.857
Singapore,GDP_Per_Capita_PPP,2018,119343.146
Singapore,Population_Millions,2018,5.639
Thailand,Current_USD_GDP,2018,506.553
Thailand,GDP_PPP,2018,1347.311
Thailand,GDP_Per_Capita_PPP,2018,21468.3
Thailand,Population_Millions,2018,69.428
Indonesia,Current_USD_GDP,2019,1119.1
Indonesia,GDP_PPP,2019,3266.186
Indonesia,GDP_Per_Capita_PPP,2019,13024.376
Indonesia,Population_Millions,2019,266.912
Malaysia,Current_USD_GDP,2019,365.178
Malaysia,GDP_PPP,2019,967.568
Malaysia,GDP_Per_Capita_PPP,2019,32183.662
Malaysia,Population_Millions,2019,32.523
Philippines,Current_USD_GDP,2019,376.823
Philippines,GDP_PPP,2019,988.832
Philippines,GDP_Per_Capita_PPP,2019,9761.941
Philippines,Population_Millions,2019,107.29
Singapore,Current_USD_GDP,2019,376.902
Singapore,GDP_PPP,2019,601.968
Singapore,GDP_Per_Capita_PPP,2019,119572.277
Singapore,Population_Millions,2019,5.704
Thailand,Current_USD_GDP,2019,543.879
Thailand,GDP_PPP,2019,1427.827
Thailand,GDP_Per_Capita_PPP,2019,21860.193
Thailand,Population_Millions,2019,69.626
Indonesia,Current_USD_GDP,2020,1059.055
Indonesia,GDP_PPP,2020,3223.405
Indonesia,GDP_Per_Capita_PPP,2020,12599.952
Indonesia,Population_Millions,2020,270.204
Malaysia,Current_USD_GDP,2020,337.456
Malaysia,GDP_PPP,2020,931.106
Malaysia,GDP_Per_Capita_PPP,2020,30498.715
Malaysia,Population_Millions,2020,32.447
Philippines,Current_USD_GDP,2020,361.751
Philippines,GDP_PPP,2020,923.367
Philippines,GDP_Per_Capita_PPP,2020,8678.277
Philippines,Population_Millions,2020,109.2
Singapore,Current_USD_GDP,2020,349.488
Singapore,GDP_PPP,2020,577.747
Singapore,GDP_Per_Capita_PPP,2020,115304.149
Singapore,Population_Millions,2020,5.686
Thailand,Current_USD_GDP,2020,500.501
Thailand,GDP_PPP,2020,1372.919
Thailand,GDP_Per_Capita_PPP,2020,20486.329
Thailand,Population_Millions,2020,69.8
Indonesia,Current_USD_GDP,2021,1186.51
Indonesia,GDP_PPP,2021,3530.623
Indonesia,GDP_Per_Capita_PPP,2021,12947.903
Indonesia,Population_Millions,2021,272.679
Malaysia,Current_USD_GDP,2021,373.785
Malaysia,GDP_PPP,2021,1022.4
Malaysia,GDP_Per_Capita_PPP,2021,31385.057
Malaysia,Population_Millions,2021,32.576
Philippines,Current_USD_GDP,2021,394.087
Philippines,GDP_PPP,2021,1001.825
Philippines,GDP_Per_Capita_PPP,2021,9100.877
Philippines,Population_Millions,2021,110.08
Singapore,Current_USD_GDP,2021,434.111
Singapore,GDP_PPP,2021,719.13
Singapore,GDP_Per_Capita_PPP,2021,131864.092
Singapore,Population_Millions,2021,5.454
Thailand,Current_USD_GDP,2021,506.27
Thailand,GDP_PPP,2021,1452.137
Thailand,GDP_Per_Capita_PPP,2021,20759.395
Thailand,Population_Millions,2021,69.951
Indonesia,Current_USD_GDP,2022,1319.076
Indonesia,GDP_PPP,2022,3983.08
Indonesia,GDP_Per_Capita_PPP,2022,13484.728
Indonesia,Population_Millions,2022,275.72
Malaysia,Current_USD_GDP,2022,407.606
Malaysia,GDP_PPP,2022,1192.355
Malaysia,GDP_Per_Capita_PPP,2022,34086.879
Malaysia,Population_Millions,2022,32.652
Philippines,Current_USD_GDP,2022,404.353
Philippines,GDP_PPP,2022,1154.611
Philippines,GDP_Per_Capita_PPP,2022,9714.916
Philippines,Population_Millions,2022,110.94
Singapore,Current_USD_GDP,2022,498.475
Singapore,GDP_PPP,2022,799.968
Singapore,GDP_Per_Capita_PPP,2022,132468.93
Singapore,Population_Millions,2022,5.637
Thailand,Current_USD_GDP,2022,495.622
Thailand,GDP_PPP,2022,1594.739
Thailand,GDP_Per_Capita_PPP,2022,21242.128
Thailand,Population_Millions,2022,70.078
