Country,Economic_Indicator,Year,Value
Indonesia,GDP_Real_Growth,2014,5.007
Indonesia,Avg_Inflation,2014,6.399
Indonesia,EOP_Inflation,2014,8.36
Indonesia,Unemployment_Rate,2014,5.94
Indonesia,Employment_Rate,2014,94.06
Indonesia,GDP_Real_Growth,2015,4.876
Indonesia,Avg_Inflation,2015,6.36
Indonesia,EOP_Inflation,2015,3.353
Indonesia,Unemployment_Rate,2015,6.18
Indonesia,Employment_Rate,2015,93.82
Indonesia,GDP_Real_Growth,2016,5.033
Indonesia,Avg_Inflation,2016,3.53
Indonesia,EOP_Inflation,2016,3.027
Indonesia,Unemployment_Rate,2016,5.61
Indonesia,Employment_Rate,2016,94.39
Indonesia,GDP_Real_Growth,2017,5.07
Indonesia,Avg_Inflation,2017,3.807
Indonesia,EOP_Inflation,2017,3.605
Indonesia,Unemployment_Rate,2017,5.5
Indonesia,Employment_Rate,2017,94.5
Indonesia,GDP_Real_Growth,2018,5.174
Indonesia,Avg_Inflation,2018,3.291
Indonesia,EOP_Inflation,2018,3.163
Indonesia,Unemployment_Rate,2018,5.24
Indonesia,Employment_Rate,2018,94.76
Indonesia,GDP_Real_Growth,2019,5.019
Indonesia,Avg_Inflation,2019,2.822
Indonesia,EOP_Inflation,2019,2.585
Indonesia,Unemployment_Rate,2019,5.18
Indonesia,Employment_Rate,2019,94.82
Indonesia,GDP_Real_Growth,2020,-2.066
Indonesia,Avg_Inflation,2020,2.031
Indonesia,EOP_Inflation,2020,1.676
Indonesia,Unemployment_Rate,2020,7.07
Indonesia,Employment_Rate,2020,92.93
Indonesia,GDP_Real_Growth,2021,3.703
Indonesia,Avg_Inflation,2021,1.561
Indonesia,EOP_Inflation,2021,1.879
Indonesia,Unemployment_Rate,2021,6.49
Indonesia,Employment_Rate,2021,93.51
Indonesia,GDP_Real_Growth,2022,5.307
Indonesia,Avg_Inflation,2022,4.139
Indonesia,EOP_Inflation,2022,5.411
Indonesia,Unemployment_Rate,2022,5.86
Indonesia,Employment_Rate,2022,94.14
Malaysia,GDP_Real_Growth,2014,6.007
Malaysia,Avg_Inflation,2014,3.143
Malaysia,EOP_Inflation,2014,2.663
Malaysia,Unemployment_Rate,2014,2.875
Malaysia,Employment_Rate,2014,97.125
Malaysia,GDP_Real_Growth,2015,5.007
Malaysia,Avg_Inflation,2015,2.104
Malaysia,EOP_Inflation,2015,2.683
Malaysia,Unemployment_Rate,2015,3.15
Malaysia,Employment_Rate,2015,96.85
Malaysia,GDP_Real_Growth,2016,4.45
Malaysia,Avg_Inflation,2016,2.076
Malaysia,EOP_Inflation,2016,1.742
Malaysia,Unemployment_Rate,2016,3.45
Malaysia,Employment_Rate,2016,96.55
Malaysia,GDP_Real_Growth,2017,5.813
Malaysia,Avg_Inflation,2017,3.799
Malaysia,EOP_Inflation,2017,3.51
Malaysia,Unemployment_Rate,2017,3.425
Malaysia,Employment_Rate,2017,96.575
Malaysia,GDP_Real_Growth,2018,4.843
Malaysia,Avg_Inflation,2018,0.969
Malaysia,EOP_Inflation,2018,0.165
Malaysia,Unemployment_Rate,2018,3.325
Malaysia,Employment_Rate,2018,96.675
Malaysia,GDP_Real_Growth,2019,4.413
Malaysia,Avg_Inflation,2019,0.663
Malaysia,EOP_Inflation,2019,0.991
Malaysia,Unemployment_Rate,2019,3.275
Malaysia,Employment_Rate,2019,96.725
Malaysia,GDP_Real_Growth,2020,-5.457
Malaysia,Avg_Inflation,2020,-1.139
Malaysia,EOP_Inflation,2020,-1.39
Malaysia,Unemployment_Rate,2020,4.525
Malaysia,Employment_Rate,2020,95.475
Malaysia,GDP_Real_Growth,2021,3.315
Malaysia,Avg_Inflation,2021,2.477
Malaysia,EOP_Inflation,2021,3.234
Malaysia,Unemployment_Rate,2021,4.65
Malaysia,Employment_Rate,2021,95.35
Malaysia,GDP_Real_Growth,2022,8.862
Malaysia,Avg_Inflation,2022,3.379
Malaysia,EOP_Inflation,2022,3.775
Malaysia,Unemployment_Rate,2022,3.825
Malaysia,Employment_Rate,2022,96.175
Philippines,GDP_Real_Growth,2014,6.348
Philippines,Avg_Inflation,2014,3.594
Philippines,EOP_Inflation,2014,1.906
Philippines,Unemployment_Rate,2014,6.8
Philippines,Employment_Rate,2014,93.2
Philippines,GDP_Real_Growth,2015,6.348
Philippines,Avg_Inflation,2015,0.69
Philippines,EOP_Inflation,2015,0.77
Philippines,Unemployment_Rate,2015,6.275
Philippines,Employment_Rate,2015,93.725
Philippines,GDP_Real_Growth,2016,7.149
Philippines,Avg_Inflation,2016,1.234
Philippines,EOP_Inflation,2016,2.183
Philippines,Unemployment_Rate,2016,5.475
Philippines,Employment_Rate,2016,94.525
Philippines,GDP_Real_Growth,2017,6.931
Philippines,Avg_Inflation,2017,2.853
