Year,Value,Economic_Indicator,Type,Country,Predicted
2014,6.399,Avg_Inflation,Actual,Indonesia,
2015,6.36,Avg_Inflation,Actual,Indonesia,
2016,3.53,Avg_Inflation,Actual,Indonesia,
2017,3.807,Avg_Inflation,Actual,Indonesia,
2018,3.291,Avg_Inflation,Actual,Indonesia,
2019,2.822,Avg_Inflation,Actual,Indonesia,
2020,2.031,Avg_Inflation,Actual,Indonesia,
2021,1.561,Avg_Inflation,Actual,Indonesia,
2022,4.139,Avg_Inflation,Actual,Indonesia,
2023,1.4861111111110858,Avg_Inflation,Prediction,Indonesia,1.4861111111110858
2024,1.0291111111110922,Avg_Inflation,Prediction,Indonesia,1.0291111111110922
2025,0.5721111111110986,Avg_Inflation,Prediction,Indonesia,0.5721111111110986
2026,0.11511111111110495,Avg_Inflation,Prediction,Indonesia,0.11511111111110495
2014,10784.013,GDP_Per_Capita_PPP,Actual,Indonesia,
2015,11176.145,GDP_Per_Capita_PPP,Actual,Indonesia,
2016,11588.139,GDP_Per_Capita_PPP,Actual,Indonesia,
2017,12042.442,GDP_Per_Capita_PPP,Actual,Indonesia,
2018,12531.011,GDP_Per_Capita_PPP,Actual,Indonesia,
2019,13024.376,GDP_Per_Capita_PPP,Actual,Indonesia,
2020,12599.952,GDP_Per_Capita_PPP,Actual,Indonesia,
2021,12947.903,GDP_Per_Capita_PPP,Actual,Indonesia,
2022,13484.728,GDP_Per_Capita_PPP,Actual,Indonesia,
2023,13835.719944444369,GDP_Per_Capita_PPP,Prediction,Indonesia,13835.719944444369
2024,14154.448177777696,GDP_Per_Capita_PPP,Prediction,Indonesia,14154.448177777696
2025,14473.176411111024,GDP_Per_Capita_PPP,Prediction,Indonesia,14473.176411111024
2026,14791.904644444352,GDP_Per_Capita_PPP,Prediction,Indonesia,14791.904644444352
2014,5.94,Unemployment_Rate,Actual,Indonesia,
2015,6.18,Unemployment_Rate,Actual,Indonesia,
2016,5.61,Unemployment_Rate,Actual,Indonesia,
2017,5.5,Unemployment_Rate,Actual,Indonesia,
2018,5.24,Unemployment_Rate,Actual,Indonesia,
2019,5.18,Unemployment_Rate,Actual,Indonesia,
2020,7.07,Unemployment_Rate,Actual,Indonesia,
2021,6.49,Unemployment_Rate,Actual,Indonesia,
2022,5.86,Unemployment_Rate,Actual,Indonesia,
2023,6.1641666666666595,Unemployment_Rate,Prediction,Indonesia,6.1641666666666595
2024,6.217666666666659,Unemployment_Rate,Prediction,Indonesia,6.217666666666659
2025,6.271166666666659,Unemployment_Rate,Prediction,Indonesia,6.271166666666659
2026,6.324666666666658,Unemployment_Rate,Prediction,Indonesia,6.324666666666658
2014,3.143,Avg_Inflation,Actual,Malaysia,
2015,2.104,Avg_Inflation,Actual,Malaysia,
2016,2.076,Avg_Inflation,Actual,Malaysia,
2017,3.799,Avg_Inflation,Actual,Malaysia,
2018,0.969,Avg_Inflation,Actual,Malaysia,
2019,0.663,Avg_Inflation,Actual,Malaysia,
2020,-1.139,Avg_Inflation,Actual,Malaysia,
2021,2.477,Avg_Inflation,Actual,Malaysia,
2022,3.379,Avg_Inflation,Actual,Malaysia,
2023,1.3159722222222285,Avg_Inflation,Prediction,Malaysia,1.3159722222222285
2024,1.190922222222241,Avg_Inflation,Prediction,Malaysia,1.190922222222241
2025,1.0658722222222252,Avg_Inflation,Prediction,Malaysia,1.0658722222222252
2026,0.9408222222222378,Avg_Inflation,Prediction,Malaysia,0.9408222222222378
2014,26829.191,GDP_Per_Capita_PPP,Actual,Malaysia,
2015,27741.118,GDP_Per_Capita_PPP,Actual,Malaysia,
2016,28565.746,GDP_Per_Capita_PPP,Actual,Malaysia,
2017,29858.91,GDP_Per_Capita_PPP,Actual,Malaysia,
2018,30957.285,GDP_Per_Capita_PPP,Actual,Malaysia,
2019,32183.662,GDP_Per_Capita_PPP,Actual,Malaysia,
2020,30498.715,GDP_Per_Capita_PPP,Actual,Malaysia,
2021,31385.057,GDP_Per_Capita_PPP,Actual,Malaysia,
2022,34086.879,GDP_Per_Capita_PPP,Actual,Malaysia,
2023,34080.16747222212,GDP_Per_Capita_PPP,Prediction,Malaysia,34080.16747222212
2024,34849.38845555554,GDP_Per_Capita_PPP,Prediction,Malaysia,34849.38845555554
2025,35618.60943888896,GDP_Per_Capita_PPP,Prediction,Malaysia,35618.60943888896
2026,36387.83042222215,GDP_Per_Capita_PPP,Prediction,Malaysia,36387.83042222215
2014,2.875,Unemployment_Rate,Actual,Malaysia,
2015,3.15,Unemployment_Rate,Actual,Malaysia,
2016,3.45,Unemployment_Rate,Actual,Malaysia,
2017,3.425,Unemployment_Rate,Actual,Malaysia,
2018,3.325,Unemployment_Rate,Actual,Malaysia,
2019,3.275,Unemployment_Rate,Actual,Malaysia,
2020,4.525,Unemployment_Rate,Actual,Malaysia,
2021,4.65,Unemployment_Rate,Actual,Malaysia,
2022,3.825,Unemployment_Rate,Actual,Malaysia,
2023,4.4694444444443775,Unemployment_Rate,Prediction,Malaysia,4.4694444444443775
2024,4.641111111111059,Unemployment_Rate,Prediction,Malaysia,4.641111111111059
2025,4.81277777777774,Unemployment_Rate,Prediction,Malaysia,4.81277777777774
2026,4.984444444444421,Unemployment_Rate,Prediction,Malaysia,4.984444444444421
2014,3.594,Avg_Inflation,Actual,Philippines,
2015,0.69,Avg_Inflation,Actual,Philippines,
2016,1.234,Avg_Inflation,Actual,Philippines,
2017,2.853,Avg_Inflation,Actual,Philippines,
2018,5.31,Avg_Inflation,Actual,Philippines,
2019,2.392,Avg_Inflation,Actual,Philippines,
2020,2.393,Avg_Inflation,Actual,Philippines,
2021,3.927,Avg_Inflation,Actual,Philippines,
2022,5.821,Avg_Inflation,Actual,Philippines,
2023,4.841222222222314,Avg_Inflation,Prediction,Philippines,4.841222222222314
2024,5.182488888888997,Avg_Inflation,Prediction,Philippines,5.182488888888997
2025,5.523755555555567,Avg_Inflation,Prediction,Philippines,5.523755555555567
2026,5.865022222222251,Avg_Inflation,Prediction,Philippines,5.865022222222251
2014,7669.806,GDP_Per_Capita_PPP,Actual,Philippines,
2015,8033.747,GDP_Per_Capita_PPP,Actual,Philippines,
