Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After,
Indonesia,"Gross domestic product, constant prices",Percent change,Units,"See notes for:  Gross domestic product, constant prices (National currency).",5.007,4.876,5.033,5.070,5.174,5.019,-2.066,3.703,5.307,5.048,4.958,2023,
Indonesia,"Inflation, average consumer prices",Percent change,Units,"See notes for:  Inflation, average consumer prices (Index).",6.399,6.360,3.530,3.807,3.291,2.822,2.031,1.561,4.139,3.713,2.484,2023,
Indonesia,"Inflation, end of period consumer prices",Percent change,Units,"See notes for:  Inflation, end of period consumer prices (Index).",8.360,3.353,3.027,3.605,3.163,2.585,1.676,1.879,5.411,2.806,2.342,2023,
Indonesia,Unemployment rate,Percent of total labor force,Units,"Source: National Statistics Office. CEIC and EMED Emerging Asia Latest actual data: 2023. Since 2004 the authorities issue unemployment data twice a year, February and August. Annual uses the last data available Employment type: National definition Primary domestic currency: Indonesian rupiah Data last updated: 09/2024",5.940,6.180,5.610,5.500,5.240,5.180,7.070,6.490,5.860,5.320,5.200,2023,
Malaysia,"Gross domestic product, constant prices",Percent change,Units,"See notes for:  Gross domestic product, constant prices (National currency).",6.007,5.007,4.450,5.813,4.843,4.413,-5.457,3.315,8.862,3.555,4.800,2023,
Malaysia,"Inflation, average consumer prices",Percent change,Units,"See notes for:  Inflation, average consumer prices (Index).",3.143,2.104,2.076,3.799,0.969,0.663,-1.139,2.477,3.379,2.489,2.799,2023,
Malaysia,"Inflation, end of period consumer prices",Percent change,Units,"See notes for:  Inflation, end of period consumer prices (Index).",2.663,2.683,1.742,3.510,0.165,0.991,-1.390,3.234,3.775,2.489,2.799,2023,
Malaysia,Unemployment rate,Percent of total labor force,Units,Source: CEIC/IMF staff/NSO Latest actual data: 2023 Employment type: National definition Primary domestic currency: Malaysian ringgit Data last updated: 10/2024,2.875,3.150,3.450,3.425,3.325,3.275,4.525,4.650,3.825,3.625,3.525,2023,
Philippines,"Gross domestic product, constant prices",Percent change,Units,"See notes for:  Gross domestic product, constant prices (National currency).",6.348,6.348,7.149,6.931,6.341,6.119,-9.518,5.715,7.581,5.546,5.754,2023,
Philippines,"Inflation, average consumer prices",Percent change,Units,"See notes for:  Inflation, average consumer prices (Index).",3.594,0.690,1.234,2.853,5.310,2.392,2.393,3.927,5.821,5.978,3.328,2023,
Philippines,"Inflation, end of period consumer prices",Percent change,Units,"See notes for:  Inflation, end of period consumer prices (Index).",1.906,0.770,2.183,2.885,5.296,2.367,3.276,3.078,8.054,3.936,3.159,2023,
Philippines,Unemployment rate,Percent of total labor force,Units,Source: National Statistics Office. Accessed via Haver Latest actual data: 2023 Employment type: Harmonized ILO definition. Please note that data prior to 2005 are not based on harmonized ILO definition but based on national definition. Primary domestic currency: Philippine peso Data last updated: 09/2024,6.800,6.275,5.475,5.725,5.325,5.100,10.400,7.783,5.400,4.358,4.367,2023,
Singapore,"Gross domestic product, constant prices",Percent change,Units,"See notes for:  Gross domestic product, constant prices (National currency).",3.936,2.977,3.589,4.513,3.517,1.345,-3.870,9.691,3.838,1.075,2.600,2023,
Singapore,"Inflation, average consumer prices",Percent change,Units,"See notes for:  Inflation, average consumer prices (Index).",1.025,-0.523,-0.532,0.576,0.439,0.565,-0.182,2.305,6.121,4.821,2.581,2023,
Singapore,"Inflation, end of period consumer prices",Percent change,Units,"See notes for:  Inflation, end of period consumer prices (Index).",-0.076,-0.639,0.163,0.375,0.465,0.761,0.024,3.951,6.460,3.739,2.200,2023,
Singapore,Unemployment rate,Percent of total labor force,Units,Source: National Statistics Office Latest actual data: 2023 Employment type: National definition. Prior to 1986 unemployment data excludes non-residents. Primary domestic currency: Singapore dollar Data last updated: 09/2024,1.950,1.900,2.075,2.175,2.100,2.250,3.000,2.650,2.100,1.925,1.900,2023,
Thailand,"Gross domestic product, constant prices",Percent change,Units,"See notes for:  Gross domestic product, constant prices (National currency).",0.984,3.134,3.435,4.178,4.223,2.115,-6.050,1.552,2.512,1.873,2.800,2023,
Thailand,"Inflation, average consumer prices",Percent change,Units,"See notes for:  Inflation, average consumer prices (Index).",1.894,-0.899,0.188,0.665,1.065,0.706,-0.847,1.231,6.077,1.228,0.535,2023,
Thailand,"Inflation, end of period consumer prices",Percent change,Units,"See notes for:  Inflation, end of period consumer prices (Index).",0.597,-0.859,1.125,0.776,0.354,0.878,-0.270,2.166,5.890,-0.834,1.079,2023,
Thailand,Unemployment rate,Percent of total labor force,Units,"Source: National Statistics Office. Labour Force Survey, downloaded from CEIC Latest actual data: 2023 Employment type: National definition Primary domestic currency: Thai baht Data last updated: 09/2024",0.800,0.900,1.000,1.200,1.100,1.000,1.700,1.900,1.300,1.000,1.100,2023,
,,,,,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2024",,,,,,,,,,,,,,,,,
